|TEAM|WINS|LOSSES|TIES|PF|PA
|MIA|0|0|0|-1|0|
|OAK|0|0|0|-1|0|
|DAL|0|0|0|-1|0|
|GB|0|0|0|-1|0|
|HOU|0|0|0|-1|0|
|DEN|0|0|0|-1|0|
|NO|0|0|0|-1|0|
|TEN|0|0|0|-1|0|
|DET|0|0|0|-1|0|
|PIT|0|0|0|-1|0|
|CHI|0|0|0|-1|0|
|MIN|0|0|0|-1|0|
|CAR|0|0|0|-1|0|
|JAC|0|0|0|-1|0|
|TB|0|0|0|-1|0|
|KC|0|0|0|-1|0|
|SD|0|0|0|-1|0|
|SF|0|0|0|-1|0|
|IND|0|0|0|-1|0|
|BAL|0|0|0|-1|0|
|BUF|0|0|0|-1|0|
|ARI|0|0|0|-1|0|
|CLE|0|0|0|-1|0|
|ATL|0|0|0|-1|0|
|WAS|0|0|0|-1|0|
|NYG|0|0|0|-1|0|
|NYJ|0|0|0|-1|0|
|SEA|0|0|0|-1|0|
|STL|0|0|0|-1|0|
|CIN|0|0|0|-1|0|
|PHI|0|0|0|-1|0|
|NE|0|0|0|-1|0|
